,0,1,2,3,4,5,6,7,8,9,10
0,Starting Node,From To,Arc Unit Cost,Vehicle Cost,Q_11,Q_8,Q_2.5,Real Quantity,Maxium Quantity,Loss Ratio,Remaining Capacities
1,0,0 -> 2,26,98.99999999999997,5.0,2.0,0.0,69,71.0,2.82%,0
2,0,0 -> 3,58,66.0,2.0,3.0,0.0,45,46.0,2.17%,3
3,0,0 -> 4,61,42.0,2.0,1.0,0.0,30,30.0,0.00%,42
4,0,0 -> 5,72,42.00000000000001,2.0,1.0,0.0,28,30.0,6.67%,20
5,0,2 -> 1,20,45.0,3.0,0.0,0.0,31,33.0,6.06%,28
6,0,2 -> 5,17,15.0,1.0,0.0,0.0,10,11.0,9.09%,70
7,1,1 -> 2,20,89.99999999999994,6.0,0.0,0.0,66,66.0,0.00%,0
8,1,1 -> 4,21,132.00000000000006,8.0,1.0,0.0,96,96.0,0.00%,0
9,1,1 -> 5,171,15.0,1.0,0.0,0.0,10,11.0,9.09%,37
10,1,2 -> 3,20,15.0,1.0,0.0,0.0,9,11.0,18.18%,90
11,1,2 -> 5,17,39.0,1.0,2.0,0.0,25,27.0,7.41%,45
12,1,4 -> 0,60,45.0,3.0,0.0,0.0,31,33.0,6.06%,19
13,1,4 -> 3,55,30.0,2.0,0.0,0.0,22,22.0,0.00%,44
14,2,2 -> 0,25,51.0,1.0,3.0,0.0,34,35.0,2.86%,53
15,2,2 -> 1,20,42.00000000000001,2.0,1.0,0.0,28,30.0,6.67%,0
16,2,2 -> 3,20,39.0,1.0,2.0,0.0,26,27.0,3.70%,64
17,2,2 -> 4,37,54.00000000000001,2.0,2.0,0.0,38,38.0,0.00%,44
18,2,2 -> 5,17,54.00000000000001,2.0,2.0,0.0,38,38.0,0.00%,7
19,2,4 -> 1,23,12.0,0.0,1.0,0.0,4,8.0,50.00%,64
20,3,2 -> 0,25,30.0,2.0,0.0,0.0,22,22.0,0.00%,31
21,3,2 -> 5,17,12.0,0.0,1.0,0.0,6,8.0,25.00%,1
22,3,3 -> 2,20,75.0,5.0,0.0,0.0,55,55.0,0.00%,20
23,3,3 -> 4,55,81.0,3.0,3.0,0.0,57,57.0,0.00%,38
24,3,3 -> 5,14,57.000000000000014,3.0,1.0,0.0,41,41.0,0.00%,0
25,3,4 -> 1,23,35.99999999999999,0.0,3.0,0.0,24,24.0,0.00%,40
26,4,2 -> 0,25,24.0,0.0,2.0,0.0,14,16.0,12.50%,17
27,4,4 -> 0,60,27.0,1.0,1.0,0.0,19,19.0,0.00%,0
28,4,4 -> 1,23,57.0,3.0,1.0,0.0,39,41.0,4.88%,1
29,4,4 -> 2,39,69.0,3.0,2.0,0.0,47,49.0,4.08%,8
30,4,4 -> 3,55,42.0,2.0,1.0,0.0,30,30.0,0.00%,14
31,4,4 -> 5,53,45.0,3.0,0.0,0.0,33,33.0,0.00%,64
32,5,2 -> 0,25,27.0,1.0,1.0,0.0,17,19.0,10.53%,0
33,5,4 -> 1,23,8.0,0.0,0.0,1.0,1,2.0,50.00%,0
34,5,5 -> 0,68,23.0,1.0,0.0,1.0,12,13.0,7.69%,32
35,5,5 -> 1,177,45.0,3.0,0.0,0.0,31,33.0,6.06%,11
36,5,5 -> 2,17,84.0,4.0,2.0,0.0,58,60.0,3.33%,0
37,5,5 -> 3,13,51.0,1.0,3.0,0.0,34,35.0,2.86%,12
38,5,5 -> 4,53,54.00000000000001,2.0,2.0,0.0,36,38.0,5.26%,35
