,0,1,2,3,4,5,6,7,8,9,10
0,Starting Node,From To,Arc Unit Cost,Vehicle Cost,Q_11,Q_8,Q_2.5,Real Quantity,Maxium Quantity,Loss Ratio,Remain Capacities
1,0,0 -> 2,26,87.0,5.0,1.0,0.0,61,63.0,3.17%,0
2,0,0 -> 3,58,66.0,2.0,3.0,0.0,45,46.0,2.17%,2
3,0,0 -> 4,61,42.0,2.0,1.0,0.0,30,30.0,0.00%,64
4,0,0 -> 5,72,54.0,2.0,2.0,0.0,36,38.0,5.26%,11
5,0,2 -> 1,20,45.0,3.0,0.0,0.0,31,33.0,6.06%,43
6,0,2 -> 5,17,8.0,0.0,0.0,1.0,2,2.0,0.00%,89
7,1,1 -> 2,20,101.99999999999996,6.0,1.0,0.0,74,74.0,0.00%,0
8,1,1 -> 4,21,126.0,6.0,3.0,0.0,90,90.0,0.00%,0
9,1,1 -> 5,171,12.0,0.0,1.0,0.0,8,8.0,0.00%,33
10,1,2 -> 3,20,24.0,0.0,2.0,0.0,15,16.0,6.25%,69
11,1,2 -> 5,17,39.0,1.0,2.0,0.0,27,27.0,0.00%,62
12,1,4 -> 0,60,45.0,3.0,0.0,0.0,31,33.0,6.06%,30
13,1,4 -> 3,55,24.0,0.0,2.0,0.0,16,16.0,0.00%,43
14,2,2 -> 0,25,51.0,1.0,3.0,0.0,34,35.0,2.86%,40
15,2,2 -> 1,20,45.0,3.0,0.0,0.0,32,33.0,3.03%,11
16,2,2 -> 3,20,39.0,1.0,2.0,0.0,26,27.0,3.70%,43
17,2,2 -> 4,37,51.0,1.0,3.0,0.0,34,35.0,2.86%,37
18,2,2 -> 5,17,54.00000000000001,2.0,2.0,0.0,38,38.0,0.00%,24
19,3,2 -> 0,25,15.0,1.0,0.0,0.0,9,11.0,18.18%,31
20,3,2 -> 1,20,15.0,1.0,0.0,0.0,11,11.0,0.00%,0
21,3,2 -> 5,17,12.0,0.0,1.0,0.0,6,8.0,25.00%,18
22,3,3 -> 0,66,23.0,1.0,0.0,1.0,13,13.0,0.00%,27
23,3,3 -> 2,20,75.0,5.0,0.0,0.0,53,55.0,3.64%,0
24,3,3 -> 4,55,66.0,2.0,3.0,0.0,46,46.0,0.00%,21
25,3,3 -> 5,14,57.000000000000014,3.0,1.0,0.0,41,41.0,0.00%,0
26,3,4 -> 1,23,23.0,1.0,0.0,1.0,13,13.0,0.00%,50
27,4,2 -> 0,25,12.0,0.0,1.0,0.0,3,8.0,62.50%,28
28,4,4 -> 0,60,42.0,2.0,1.0,0.0,30,30.0,0.00%,0
29,4,4 -> 1,23,57.0,3.0,1.0,0.0,39,41.0,4.88%,11
30,4,4 -> 2,39,54.00000000000001,2.0,2.0,0.0,36,38.0,5.26%,47
31,4,4 -> 3,55,42.0,2.0,1.0,0.0,30,30.0,0.00%,13
32,4,4 -> 5,53,45.0,3.0,0.0,0.0,33,33.0,0.00%,48
33,5,2 -> 0,25,27.0,1.0,1.0,0.0,19,19.0,0.00%,9
34,5,4 -> 1,23,15.0,1.0,0.0,0.0,11,11.0,0.00%,0
35,5,5 -> 0,68,15.0,1.0,0.0,0.0,10,11.0,9.09%,33
36,5,5 -> 1,177,30.0,2.0,0.0,0.0,21,22.0,4.55%,28
37,5,5 -> 2,17,84.0,4.0,2.0,0.0,60,60.0,0.00%,0
38,5,5 -> 3,13,51.0,1.0,3.0,0.0,34,35.0,2.86%,11
39,5,5 -> 4,53,66.0,2.0,3.0,0.0,46,46.0,0.00%,46
