,from,to,Real Quantity,Total_Vehicle,Q_11,Q_8,Q_2.5,Total_Arc_cost,max_quan,loss ratio
0,0,2,86,8.0,8.0,0.0,0.0,119.99999999999997,88.0,2.27%
1,0,3,43,4.0,4.0,0.0,0.0,60.000000000000014,44.0,2.27%
2,0,4,30,3.0,2.0,1.0,0.0,42.0,30.0,0.00%
3,0,5,13,2.0,1.0,0.0,1.0,23.0,13.0,0.00%
4,1,2,50,5.0,4.0,1.0,0.0,72.00000000000001,52.0,3.85%
5,1,4,91,9.0,7.0,2.0,0.0,129.0,93.0,2.15%
6,1,5,31,3.0,3.0,0.0,0.0,45.0,33.0,6.06%
7,2,0,85,8.0,7.0,1.0,0.0,117.00000000000001,85.0,0.00%
8,2,1,72,7.0,6.0,1.0,0.0,102.00000000000006,74.0,2.70%
9,2,3,53,5.0,5.0,0.0,0.0,75.00000000000001,55.0,3.64%
10,2,4,37,4.0,2.0,2.0,0.0,54.0,38.0,2.63%
11,2,5,56,6.0,3.0,3.0,0.0,81.00000000000001,57.0,1.75%
12,3,2,61,6.0,5.0,1.0,0.0,87.0,63.0,3.17%
13,3,4,58,6.0,4.0,2.0,0.0,84.00000000000001,60.0,3.33%
14,3,5,45,5.0,2.0,3.0,0.0,66.00000000000003,46.0,2.17%
15,4,0,64,6.0,6.0,0.0,0.0,90.0,66.0,3.03%
16,4,1,70,7.0,5.0,2.0,0.0,99.0,71.0,1.41%
17,4,2,33,3.0,3.0,0.0,0.0,45.0,33.0,0.00%
18,4,3,47,5.0,3.0,2.0,0.0,69.00000000000003,49.0,4.08%
19,4,5,46,5.0,2.0,3.0,0.0,66.0,46.0,0.00%
20,5,1,16,2.0,0.0,2.0,0.0,24.0,16.0,0.00%
21,5,2,70,7.0,5.0,2.0,0.0,99.0,71.0,1.41%
22,5,3,34,4.0,1.0,3.0,0.0,51.0,35.0,2.86%
23,5,4,51,5.0,4.0,1.0,0.0,72.0,52.0,1.92%
